#Top: ios   Floorplan: io_1   Part: xc7a35tcsg324-2,,,,,,,,,,,,,,,,,,,,,,,,,
#Generated by: ParsaMalekpour   on: Tue Jun 30 13:17:30 2026,,,,,,,,,,,,,,,,,,,,,,,,,
#Build: Vivado v2019.1   by: xbuild   on: Fri May 24 14:49:42 MDT 2019,,,,,,,,,,,,,,,,,,,,,,,,,
#Package Version: FINAL 2013-12-19,,,,,,,,,,,,,,,,,,,,,,,,,
#Package Pin Delay Version: VERS. 2.0 2013-12-19,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Average Trace Delay,,,,,,,,,,,,,,,,,,,
34,U8,IOB_X1Y0,IO_25_34,54.719,55.268,54.9935,,,,,,,,,,,,,,,,,,,
34,K4,,VCCO_34,,,0,,,,,,,,,,,,,,,,,,VCCO_34,
34,N3,,VCCO_34,,,0,,,,,,,,,,,,,,,,,,VCCO_34,
34,P6,,VCCO_34,,,0,,,,,,,,,,,,,,,,,,VCCO_34,
34,T2,,VCCO_34,,,0,,,,,,,,,,,,,,,,,,VCCO_34,
34,U5,,VCCO_34,,,0,,,,,,,,,,,,,,,,,,VCCO_34,
34,V8,,VCCO_34,,,0,,,,,,,,,,,,,,,,,,VCCO_34,
35,F5,IOB_X1Y99,IO_0_35,38.26,38.644,38.452,,,,,,,,,,,,,,,,,,,
35,C6,IOB_X1Y98,IO_L1P_T0_AD4P_35,86.386,87.254,86.82,,,,,,,,,,,,,,,,,,,
35,C5,IOB_X1Y97,IO_L1N_T0_AD4N_35,84.744,85.596,85.17,,,,,,,,,,,,,,,,,,,
35,B7,IOB_X1Y96,IO_L2P_T0_AD12P_35,101.038,102.054,101.546,,,,,,,,,,,,,,,,,,,
35,B6,IOB_X1Y95,IO_L2N_T0_AD12N_35,99.726,100.728,100.227,,,,,,,,,,,,,,,,,,,
35,A6,IOB_X1Y94,IO_L3P_T0_DQS_AD5P_35,100.455,101.465,100.96,,,,,,,,,,,,,,,,,,,
35,A5,IOB_X1Y93,IO_L3N_T0_DQS_AD5N_35,97.01,97.985,97.4975,,,,,,,,,,,,,,,,,,,
35,D8,IOB_X1Y92,IO_L4P_T0_35,98.298,99.285,98.7915,,,,,,,,,,,,,,,,,,,
35,C7,IOB_X1Y91,IO_L4N_T0_35,98.513,99.503,99.008,,,,,,,,,,,,,,,,,,,
35,E6,IOB_X1Y90,IO_L5P_T0_AD13P_35,84.348,85.195,84.7715,,,,,,,,,,,,,,,,,,,
35,E5,IOB_X1Y89,IO_L5N_T0_AD13N_35,85.927,86.791,86.359,,,,,,,,,,,,,,,,,,,
35,E7,IOB_X1Y88,IO_L6P_T0_35,85.597,86.457,86.027,,,,,,,,,,,,,,,,,,,
35,D7,IOB_X1Y87,IO_L6N_T0_VREF_35,84.077,84.922,84.4995,,,,,,,,,,,,,,,,,,,
35,C4,IOB_X1Y86,IO_L7P_T1_AD6P_35,102.612,103.644,103.128,,,,,,,,,,,,,,,,,,,
35,B4,IOB_X1Y85,IO_L7N_T1_AD6N_35,102.99,104.025,103.5075,,,,,,,,,,,,,,,,,,,
35,A4,IOB_X1Y84,IO_L8P_T1_AD14P_35,101.14,102.157,101.6485,,,,,,,,,,,,,,,,,,,
35,A3,IOB_X1Y83,IO_L8N_T1_AD14N_35,106.932,108.007,107.4695,,,,,,,,,,,,,,,,,,,
35,B1,IOB_X1Y82,IO_L9P_T1_DQS_AD7P_35,99.464,100.463,99.9635,,,,,,,,,,,,,,,,,,,
35,A1,IOB_X1Y81,IO_L9N_T1_DQS_AD7N_35,100.561,101.572,101.0665,,,,,,,,,,,,,,,,,,,
35,B3,IOB_X1Y80,IO_L10P_T1_AD15P_35,105.091,106.147,105.619,,,,,,,,,,,,,,,,,,,
35,B2,IOB_X1Y79,IO_L10N_T1_AD15N_35,103.602,104.643,104.1225,,,,,,,,,,,,,,,,,,,
35,D5,IOB_X1Y78,IO_L11P_T1_SRCC_35,85.826,86.689,86.2575,,,,,,,,,,,,,,,,,,,
35,D4,IOB_X1Y77,IO_L11N_T1_SRCC_35,86.723,87.594,87.1585,,,,,,,,,,,,,,,,,,,
35,E3,IOB_X1Y76,IO_L12P_T1_MRCC_35,84.179,85.025,84.602,,,,,,,,,,,,,,,,,,,
35,D3,IOB_X1Y75,IO_L12N_T1_MRCC_35,83.914,84.757,84.3355,,,,,,,,,,,,,,,,,,,
35,F4,IOB_X1Y74,IO_L13P_T2_MRCC_35,75.518,76.277,75.8975,,,,,,,,,,,,,,,,,,,
35,F3,IOB_X1Y73,IO_L13N_T2_MRCC_35,80.552,81.362,80.957,,,,,,,,,,,,,,,,,,,
35,E2,IOB_X1Y72,IO_L14P_T2_SRCC_35,96.235,97.202,96.7185,,,,,,,,,,,,,,,,,,,
35,D2,IOB_X1Y71,IO_L14N_T2_SRCC_35,94.972,95.926,95.449,,,,,,,,,,,,,,,,,,,
35,H2,IOB_X1Y70,IO_L15P_T2_DQS_35,90.496,91.406,90.951,,,,,,,,,,,,,,,,,,,
35,G2,IOB_X1Y69,IO_L15N_T2_DQS_35,92.996,93.931,93.4635,,,,,,,,,,,,,,,,,,,
35,C2,IOB_X1Y68,IO_L16P_T2_35,108.552,109.643,109.0975,,,,,,,,,,,,,,,,,,,
35,C1,IOB_X1Y67,IO_L16N_T2_35,105.2,106.258,105.729,,,,,,,,,,,,,,,,,,,
35,H1,IOB_X1Y66,IO_L17P_T2_35,83.386,84.224,83.805,,,,,,,,,,,,,,,,,,,
35,G1,IOB_X1Y65,IO_L17N_T2_35,80.184,80.99,80.587,,,,,,,,,,,,,,,,,,,
35,F1,IOB_X1Y64,IO_L18P_T2_35,82.497,83.326,82.9115,,,,,,,,,,,,,,,,,,,
35,E1,IOB_X1Y63,IO_L18N_T2_35,85.1,85.955,85.5275,,,,,,,,,,,,,,,,,,,
35,G6,IOB_X1Y62,IO_L19P_T3_35,79.031,79.826,79.4285,,,,,,,,,,,,,,,,,,,
35,F6,IOB_X1Y61,IO_L19N_T3_VREF_35,75.844,76.606,76.225,,,,,,,,,,,,,,,,,,,
35,G4,IOB_X1Y60,IO_L20P_T3_35,86.38,87.248,86.814,,,,,,,,,,,,,,,,,,,
35,G3,IOB_X1Y59,IO_L20N_T3_35,81.676,82.497,82.0865,,,,,,,,,,,,,,,,,,,
35,J4,IOB_X1Y58,IO_L21P_T3_DQS_35,69.011,69.704,69.3575,,,,,,,,,,,,,,,,,,,
35,H4,IOB_X1Y57,IO_L21N_T3_DQS_35,70.87,71.582,71.226,,,,,,,,,,,,,,,,,,,
35,J3,IOB_X1Y56,IO_L22P_T3_35,60.809,61.42,61.1145,,,,,,,,,,,,,,,,,,,
35,J2,IOB_X1Y55,IO_L22N_T3_35,58.825,59.416,59.1205,,,,,,,,,,,,,,,,,,,
35,K2,IOB_X1Y54,IO_L23P_T3_35,64.718,65.368,65.043,,,,,,,,,,,,,,,,,,,
35,K1,IOB_X1Y53,IO_L23N_T3_35,66.355,67.022,66.6885,,,,,,,,,,,,,,,,,,,
35,H6,IOB_X1Y52,IO_L24P_T3_35,62.843,63.474,63.1585,,,,,,,,,,,,,,,,,,,
35,H5,IOB_X1Y51,IO_L24N_T3_35,66.063,66.727,66.395,,,,,,,,,,,,,,,,,,,
35,J5,IOB_X1Y50,IO_25_35,48.192,48.676,48.434,,,,,,,,,,,,,,,,,,,
35,A7,,VCCO_35,,,,,,,,,,,,,,,,,,,,,VCCO_35,
35,C3,,VCCO_35,,,,,,,,,,,,,,,,,,,,,VCCO_35,
35,D6,,VCCO_35,,,,,,,,,,,,,,,,,,,,,VCCO_35,
35,F2,,VCCO_35,,,,,,,,,,,,,,,,,,,,,VCCO_35,
35,G5,,VCCO_35,,,,,,,,,,,,,,,,,,,,,VCCO_35,
35,J1,,VCCO_35,,,,,,,,,,,,,,,,,,,,,VCCO_35,
,A12,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,A2,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,B15,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,B5,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,C18,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,C8,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,D11,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,D1,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,E14,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,E4,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,F17,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,F11,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,F9,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,F7,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,G12,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,G10,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,G8,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,H13,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,H11,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,H7,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,H3,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,J16,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,J12,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,J8,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,J6,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,K11,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,K7,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,L12,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,L8,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,L2,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,M15,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,M11,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,M9,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,M7,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,M5,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,N18,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,N12,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,N10,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,N8,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,P1,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,R14,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,R4,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,T17,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,T7,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,U10,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,V13,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,V3,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,F8,,VCCINT,,,,,,,,,,,,,,,,,,,,,,
,G9,,VCCINT,,,,,,,,,,,,,,,,,,,,,,
,G7,,VCCINT,,,,,,,,,,,,,,,,,,,,,,
,H8,,VCCINT,,,,,,,,,,,,,,,,,,,,,,
,J11,,VCCINT,,,,,,,,,,,,,,,,,,,,,,
,J7,,VCCINT,,,,,,,,,,,,,,,,,,,,,,
,K8,,VCCINT,,,,,,,,,,,,,,,,,,,,,,
,L11,,VCCINT,,,,,,,,,,,,,,,,,,,,,,
,L7,,VCCINT,,,,,,,,,,,,,,,,,,,,,,
,M10,,VCCINT,,,,,,,,,,,,,,,,,,,,,,
,M8,,VCCINT,,,,,,,,,,,,,,,,,,,,,,
,N11,,VCCINT,,,,,,,,,,,,,,,,,,,,,,
,N9,,VCCINT,,,,,,,,,,,,,,,,,,,,,,
,N7,,VCCINT,,,,,,,,,,,,,,,,,,,,,,
,F12,,VCCAUX,,,,,,,,,,,,,,,,,,,,,VCCAUX,1.8
,H12,,VCCAUX,,,,,,,,,,,,,,,,,,,,,VCCAUX,1.8
,K12,,VCCAUX,,,,,,,,,,,,,,,,,,,,,VCCAUX,1.8
,M12,,VCCAUX,,,,,,,,,,,,,,,,,,,,,VCCAUX,1.8
,F10,,VCCBRAM,,,,,,,,,,,,,,,,,,,,,,
,G11,,VCCBRAM,,,,,,,,,,,,,,,,,,,,,,
