#Top: ios   Floorplan: io_1   Part: xc7a35tcsg324-2,,,,,,,,,,,,,,,,,,,,,,,,,
#Generated by: ParsaMalekpour   on: Tue Jun 30 13:17:30 2026,,,,,,,,,,,,,,,,,,,,,,,,,
#Build: Vivado v2019.1   by: xbuild   on: Fri May 24 14:49:42 MDT 2019,,,,,,,,,,,,,,,,,,,,,,,,,
#Package Version: FINAL 2013-12-19,,,,,,,,,,,,,,,,,,,,,,,,,
#Package Pin Delay Version: VERS. 2.0 2013-12-19,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Average Trace Delay,,,,,,,,,,,,,,,,,,,
14,R16,IOB_X0Y20,IO_L15P_T2_DQS_RDWR_B_14,71.602,72.322,71.962,,,,,,,,,,,,,,,,,,,
14,T16,IOB_X0Y19,IO_L15N_T2_DQS_DOUT_CSO_B_14,73.806,74.548,74.177,,,,,,,,,,,,,,,,,,,
14,V15,IOB_X0Y18,IO_L16P_T2_CSI_B_14,87.759,88.641,88.2,,,,,,,,,,,,,,,,,,,
14,V16,IOB_X0Y17,IO_L16N_T2_A15_D31_14,86.685,87.556,87.1205,,,,,,,,,,,,,,,,,,,
14,U17,IOB_X0Y16,IO_L17P_T2_A14_D30_14,80.17,80.976,80.573,,,,,,,,,,,,,,,,,,,
14,U18,IOB_X0Y15,IO_L17N_T2_A13_D29_14,76.939,77.712,77.3255,,,,,,,,,,,,,,,,,,,
14,U16,IOB_X0Y14,IO_L18P_T2_A12_D28_14,77.954,78.737,78.3455,,,,,,,,,,,,,,,,,,,
14,V17,IOB_X0Y13,IO_L18N_T2_A11_D27_14,75.759,76.52,76.1395,,,,,,,,,,,,,,,,,,,
14,T11,IOB_X0Y12,IO_L19P_T3_A10_D26_14,77.025,77.799,77.412,,,,,,,,,,,,,,,,,,,
14,U11,IOB_X0Y11,IO_L19N_T3_A09_D25_VREF_14,74.61,75.36,74.985,,,,,,,,,,,,,,,,,,,
14,U12,IOB_X0Y10,IO_L20P_T3_A08_D24_14,104.421,105.471,104.946,,,,,,,,,,,,,,,,,,,
14,V12,IOB_X0Y9,IO_L20N_T3_A07_D23_14,101.383,102.402,101.8925,,,,,,,,,,,,,,,,,,,
14,V10,IOB_X0Y8,IO_L21P_T3_DQS_14,89.575,90.475,90.025,,,,,,,,,,,,,,,,,,,
14,V11,IOB_X0Y7,IO_L21N_T3_DQS_A06_D22_14,88.12,89.005,88.5625,,,,,,,,,,,,,,,,,,,
14,U14,IOB_X0Y6,IO_L22P_T3_A05_D21_14,75.293,76.05,75.6715,,,,,,,,,,,,,,,,,,,
14,V14,IOB_X0Y5,IO_L22N_T3_A04_D20_14,74.805,75.556,75.1805,,,,,,,,,,,,,,,,,,,
14,T13,IOB_X0Y4,IO_L23P_T3_A03_D19_14,76.286,77.053,76.6695,,,,,,,,,,,,,,,,,,,
14,U13,IOB_X0Y3,IO_L23N_T3_A02_D18_14,75.079,75.834,75.4565,,,,,,,,,,,,,,,,,,,
14,T9,IOB_X0Y2,IO_L24P_T3_A01_D17_14,86.414,87.283,86.8485,,,,,,,,,,,,,,,,,,,
14,T10,IOB_X0Y1,IO_L24N_T3_A00_D16_14,79.932,80.735,80.3335,,,,,,,,,,,,,,,,,,,
14,R10,IOB_X0Y0,IO_25_14,76.103,76.868,76.4855,,,,,,,,,,,,,,,,,,,
14,L17,,VCCO_14,,,0,,,,,,,,,,,,,,,,,,VCCO_14,
14,N13,,VCCO_14,,,0,,,,,,,,,,,,,,,,,,VCCO_14,
14,P16,,VCCO_14,,,0,,,,,,,,,,,,,,,,,,VCCO_14,
14,T12,,VCCO_14,,,0,,,,,,,,,,,,,,,,,,VCCO_14,
14,U15,,VCCO_14,,,0,,,,,,,,,,,,,,,,,,VCCO_14,
14,V18,,VCCO_14,,,0,,,,,,,,,,,,,,,,,,VCCO_14,
15,G13,IOB_X0Y99,IO_0_15,68.624,69.313,68.9685,,,,,,,,,,,,,,,,,,,
15,D14,IOB_X0Y98,IO_L1P_T0_AD0P_15,85.914,86.777,86.3455,,,,,,,,,,,,,,,,,,,
15,C14,IOB_X0Y97,IO_L1N_T0_AD0N_15,84.549,85.398,84.9735,,,,,,,,,,,,,,,,,,,
15,B13,IOB_X0Y96,IO_L2P_T0_AD8P_15,106.26,107.328,106.794,,,,,,,,,,,,,,,,,,,
15,B14,IOB_X0Y95,IO_L2N_T0_AD8N_15,97.69,98.672,98.181,,,,,,,,,,,,,,,,,,,
15,C12,IOB_X0Y94,IO_L3P_T0_DQS_AD1P_15,100.932,101.946,101.439,,,,,,,,,,,,,,,,,,,
15,B12,IOB_X0Y93,IO_L3N_T0_DQS_AD1N_15,103.379,104.418,103.8985,,,,,,,,,,,,,,,,,,,
15,B11,IOB_X0Y92,IO_L4P_T0_15,108.926,110.021,109.4735,,,,,,,,,,,,,,,,,,,
15,A11,IOB_X0Y91,IO_L4N_T0_15,104.412,105.461,104.9365,,,,,,,,,,,,,,,,,,,
15,F13,IOB_X0Y90,IO_L5P_T0_AD9P_15,83.312,84.15,83.731,,,,,,,,,,,,,,,,,,,
15,F14,IOB_X0Y89,IO_L5N_T0_AD9N_15,86.095,86.96,86.5275,,,,,,,,,,,,,,,,,,,
15,D12,IOB_X0Y88,IO_L6P_T0_15,86.64,87.511,87.0755,,,,,,,,,,,,,,,,,,,
15,D13,IOB_X0Y87,IO_L6N_T0_VREF_15,83.961,84.805,84.383,,,,,,,,,,,,,,,,,,,
15,B16,IOB_X0Y86,IO_L7P_T1_AD2P_15,103.761,104.803,104.282,,,,,,,,,,,,,,,,,,,
